node_name,x_node_name,tag1,tag2,sched,x_sched,pinning,x_pinning,max_little,max_big,n_little,n_big,strat,sck_v_mean,sck_v_min,sck_v_max,sck_v_std,sck_i_mean,sck_i_min,sck_i_max,sck_i_std,sck_w_mean,sck_w_min,sck_w_max,sck_w_minus,sck_w_plus,sck_w_std,sck_w_idle,sck_j_first,sck_j_last,sck_j_total,rapl_w_mean,rapl_w_min,rapl_w_max,rapl_w_std,rapl_w_idle,thr_mean,thr_min,thr_max,thr_minus,thr_plus,thr_error,thr_std,sck_ene_per_fra,rapl_ene_per_fra
x7ti,4,2CATAC_loose_half,x7ti_2CATAC_half,2CATAC,1,loose,1,4,3,4,3,half,18.837751734438235,18.77,19.019,0.018863809260331755,4.05395662459048,1.3757,4.7356,0.19053738936187378,76.36538487787146,26.164438299999997,89.123992,50.20094657787146,12.758607122128538,3.5481432772490438,13.50118462351242,0.129,inf,inf,0,0,0,0,0.42,43.242000000000004,43.097,43.538,0.14500000000000313,0.29599999999999227,0.4409999999999954,0.12506798151405413,0.025133716238422518,0.0
x7ti,4,2CATAC_loose_full,x7ti_2CATAC_full,2CATAC,1,loose,1,8,6,8,5,full,18.84181363767697,18.721,19.024,0.028708965651511594,3.9761548251950303,1.5765,5.3223,0.3537682688618756,74.91036838178272,29.931429,99.6387783,44.978939381782716,24.72840991821728,6.592365679680531,13.50118462351242,0.224,2249.593,2249.3689999999997,58.74,57.84,59.66,0.54,0.42,49.97959999999999,48.266,52.037,1.7135999999999925,2.0574000000000083,3.771000000000001,1.1618780008627794,0.02133119038186644,0.01672657804384189
x7ti,4,FERTAC_loose_half,x7ti_FERTAC_half,FERTAC,2,loose,1,4,3,4,3,half,18.856010891041397,18.756,19.023,0.026408138156590547,3.786995817069057,0.7949,5.0046,0.33378473754743593,71.40095624741458,15.091971400000002,93.8662776,56.30898484741458,22.46532135258542,6.224745534552592,13.50118462351242,0.225,2143.543,2143.318,0,0,0,0,0.42,35.64450000000001,35.249,36.042,0.3955000000000055,0.39749999999999375,0.7929999999999993,0.25894626212144195,0.028508701463429254,0.0
x7ti,4,FERTAC_loose_full,x7ti_FERTAC_full,FERTAC,2,loose,1,8,6,8,6,full,18.82988279782263,18.744,19.02,0.02297835105827405,4.144913218363119,1.6379,4.981,0.2806051185058692,78.04348491702876,31.152858,93.60793299999999,46.89062691702877,15.564448082971225,5.222529113626282,13.50118462351242,0.606,2344.61,2344.004,60.05,57.68,61.27,0.96,0.42,56.03380000000001,53.235,57.174,2.798800000000007,1.140199999999993,3.939,1.0851419569193086,0.01982223010645634,0.015252072856026182
x7ti,4,HeRAD_loose_half,x7ti_HeRAD_half,HeRAD,3,loose,1,4,3,4,3,half,18.84592732179864,18.763,19.006,0.020347196506909332,3.9056716661043906,1.5174,4.5999,0.21010848137120794,73.60336511012098,28.8260478,86.524119,44.77731731012098,12.920753889879023,3.912968392965682,13.50118462351242,0.229,2209.537,2209.308,0,0,0,0,0.42,43.759,43.593,43.901,0.16599999999999682,0.142000000000003,0.30799999999999983,0.08819548993256052,0.023938460482352014,0.0
x7ti,4,HeRAD_loose_full,x7ti_HeRAD_full,HeRAD,3,loose,1,8,6,8,5,full,18.849344297823155,18.732,19.004,0.024269094589952682,3.852431472741283,1.7009,4.9738,0.2863538957056963,72.61093262252456,32.3239036,93.457702,40.28702902252456,20.84676937747544,5.338227355861347,13.50118462351242,0.217,2180.097,2179.88,56.39,55.28,57.83,0.60,0.42,50.2707,49.288,51.511,0.9827000000000012,1.2403000000000048,2.223000000000006,0.6275435443058917,0.020556681985406403,0.015964418239650533
x7ti,4,OTAC_big_loose_half,x7ti_OTAC_big_half,OTAC_big,4,loose,1,4,3,0,3,half,18.90287119460501,18.798,19.076,0.028844645325713056,3.0433202697495183,0.947,4.1862,0.29045266478180576,57.52301513050578,18.032774,79.1484834,39.49024113050578,21.62546826949422,5.448084844585101,13.50118462351242,0.106,1729.546,1729.44,0,0,0,0,0.42,18.357,18.215,18.662,0.14199999999999946,0.3049999999999997,0.4469999999999992,0.14829250374400832,0.04459702300688338,0.0
x7ti,4,OTAC_big_loose_full,x7ti_OTAC_big_full,OTAC_big,4,loose,1,8,6,0,6,full,18.844103373493976,18.756,19.05,0.02645821556972071,3.9332350506024096,1.1228,5.057,0.30448982510559075,74.11260128866988,21.2242884,95.30927900000002,52.88831288866988,21.19667771133014,5.67163703695204,13.50118462351242,0.231,2223.54,2223.3089999999997,0,0,0,0,0.42,36.534000000000006,36.111,37.061,0.4230000000000089,0.5269999999999939,0.9500000000000028,0.30709535254633163,0.028870929587243372,0.0
x7ti,4,OTAC_little_loose_half,x7ti_OTAC_little_half,OTAC_little,5,loose,1,4,3,4,0,half,18.863526698444797,18.759,19.072,0.03388058075359837,3.63092215320911,1.017,4.4252,0.4120940620178495,68.48157134270788,19.396223999999997,83.2424372,49.085347342707884,14.760865857292117,7.6916441141497005,13.50118462351242,0.123,2056.234,2056.111,0,0,0,0,0.42,25.479300000000002,25.214,25.778,0.2653000000000034,0.29869999999999663,0.5640000000000001,0.18212575020817012,0.038251824946109916,0.0
x7ti,4,OTAC_little_loose_full,x7ti_OTAC_little_full,OTAC_little,5,loose,1,8,6,8,0,full,18.842784437484944,18.752,19.034,0.02090532121513128,3.9480636954950614,0.9516,4.906,0.23170345413256224,74.38933605633342,18.1127544,92.15058200000001,56.27658165633342,17.761245943666594,4.314841372627827,13.50118462351242,0.121,2231.744,2231.623,0,0,0,0,0.42,44.78280000000001,44.544,44.956,0.2388000000000119,0.17319999999999425,0.41200000000000614,0.1339749562003625,0.023640974453445006,0.0
x7ti,4,2CATAC_distant_half,x7ti_2CATAC_half,2CATAC,1,distant,4,4,3,4,3,half,18.81034731359649,18.658,19.052,0.057875342317899967,3.295698606542398,1.3235,4.5035,0.5443243824442552,61.972144867525586,25.094883499999995,84.1298835,36.87726136752559,22.15773863247442,10.140555687500395,13.50118462351242,3980.064,5838.107,1858.0430000000001,0.87,0.83,1.10,0.06,0.42,39.93919999999999,39.455,40.43,0.4841999999999942,0.49080000000000723,0.9750000000000014,0.3284816247186113,0.022083255692518237,0.00031001722618379944
x7ti,4,2CATAC_distant_full,x7ti_2CATAC_full,2CATAC,1,distant,4,8,6,8,5,full,18.743450565934815,18.666,18.98,0.027641752118007686,4.090526678485386,0.945,4.6716,0.27171518435296216,76.66544018268102,17.932319999999997,87.3776064,58.73312018268103,10.71216621731898,5.028283009813427,13.50118462351242,0.135,2296.662,2296.5269999999996,1.67,1.46,1.82,0.10,0.42,70.7435,68.612,71.655,2.1315000000000026,0.9115000000000038,3.0430000000000064,0.97982144064904,0.015423361081652962,0.0003359664138754797
x7ti,4,FERTAC_distant_half,x7ti_FERTAC_half,FERTAC,2,distant,4,4,3,4,3,half,18.757626515323498,18.681,18.886,0.024270036598480867,3.9211697026106695,2.3633,4.5299,0.22326542404651667,73.54823602477639,44.6332838,84.89938579999999,28.914952224776385,11.351149775223604,4.127178918686656,13.50118462351242,0.136,2203.028,2202.892,0.86,0.83,1.10,0.06,0.42,37.2438,36.441,38.845,0.8027999999999977,1.6011999999999986,2.4039999999999964,0.8029017928046296,0.028105040170568456,0.0003286324166706942
x7ti,4,FERTAC_distant_full,x7ti_FERTAC_full,FERTAC,2,distant,4,8,6,8,6,full,18.72929189507543,18.678,18.817,0.012991490649163015,4.2561839804285775,3.348,4.6381,0.11678310615602196,79.71434244227336,62.939052,86.767704,16.775290442273366,7.053361557726632,2.1531180042024594,13.50118462351242,0.135,2387.923,2387.7879999999996,2.00,1.74,2.42,0.16,0.42,63.5736,63.311,65.101,0.26259999999999906,1.5274,1.7899999999999991,0.5390065346954933,0.01784537168948171,0.0004477330212541055
x7ti,4,HeRAD_distant_half,x7ti_HeRAD_half,HeRAD,3,distant,4,4,3,4,3,half,18.797057423481043,18.659,19.04,0.064780052113615,3.4498063544997715,1.038,4.2711,0.6357420739424606,64.81670953180448,19.76352,80.22834239999999,45.05318953180448,15.411632868195511,11.838704408820957,13.50118462351242,0.101,1942.839,1942.7379999999998,0.86,0.81,0.96,0.04,0.42,39.6134,39.044,39.971,0.5694000000000017,0.3575999999999979,0.9269999999999996,0.3665285194300105,0.0232868526825933,0.00030897423599085164
x7ti,4,HeRAD_distant_full,x7ti_HeRAD_full,HeRAD,3,distant,4,8,6,8,5,full,18.738081437071354,18.663,18.984,0.026176580068507607,4.1379812145160555,1.3336,5.0038,0.21952900499869263,77.53465842199664,25.311728,93.4759878,52.22293042199664,15.94132937800336,4.058662111355503,13.50118462351242,0.13,2324.919,2324.7889999999998,1.52,1.42,1.64,0.07,0.42,71.2809,70.191,72.135,1.0899,0.8541000000000025,1.9440000000000026,0.6772489202649206,0.015480630276299208,0.000303484383614685
x7ti,4,OTAC_big_distant_half,x7ti_OTAC_big_half,OTAC_big,4,distant,4,4,3,0,3,half,18.88513566350711,18.76,19.037,0.02133316886392099,2.3792196955887714,0.7291,3.8699,0.1723591793094535,44.929558451075465,13.8682111,72.59932400000001,31.061347351075465,27.669765548924545,3.221411088233776,13.50118462351242,0.077,1346.042,1345.965,0.57,0.55,0.74,0.04,0.42,19.0334,18.762,19.697,0.27139999999999986,0.6635999999999989,0.9349999999999987,0.34577005846853354,0.03359554655898085,0.0004262107663370706
x7ti,4,OTAC_big_distant_full,x7ti_OTAC_big_full,OTAC_big,4,distant,4,8,6,0,6,full,18.733572833129447,18.648,19.014,0.025809992577369736,4.182812536813013,1.0567,4.8534,0.22555827646041823,78.355364711241,20.092093799999997,90.5790042,58.263270911240994,12.223639488759005,4.161943420166305,13.50118462351242,0.136,2349.684,2349.5480000000002,0.79,0.77,0.87,0.03,0.42,35.3507,34.847,38.063,0.503700000000002,2.712299999999999,3.216000000000001,0.9596058276419785,0.03154544466079545,0.0003180497133012925
x7ti,4,OTAC_little_distant_half,x7ti_OTAC_little_half,OTAC_little,5,distant,4,4,3,4,0,half,18.96288089375285,18.863,19.029,0.012650824574660227,1.4368071317829458,0.7143,2.4956,0.09559242893421069,27.245157740424077,13.5924147,47.094467599999994,13.652743040424076,19.849309859575918,1.798818545929603,13.50118462351242,0.044,816.707,816.663,0.66,0.64,0.72,0.02,0.42,14.8572,14.698,14.959,0.15920000000000023,0.101799999999999,0.26099999999999923,0.0937512073996322,0.02609866495448102,0.0006322267991276956
x7ti,4,OTAC_little_distant_full,x7ti_OTAC_little_full,OTAC_little,5,distant,4,8,6,8,0,full,18.944593349686563,18.813,18.984,0.015249418147758653,1.6235949350413372,1.2098,2.9999,0.12920109440658614,30.75694293400109,22.962004,56.43711869999999,7.794938934001088,25.680175765998904,2.4289609473724263,13.50118462351242,0.053,922.452,922.399,0.93,0.91,0.99,0.02,0.42,26.142699999999998,26.045,26.202,0.09769999999999612,0.059300000000003905,0.15700000000000003,0.05530531419111321,0.016743978695264974,0.0005062889449062263
x7ti,4,2CATAC_guided_half,x7ti_2CATAC_half,2CATAC,1,guided,2,4,3,4,3,half,18.89285176980496,18.774,19.061,0.053182585393237655,3.2696237996628943,1.1258,4.4773,0.6321273939580292,61.74763357692752,21.4588738,84.24487679999999,40.28875977692752,22.497243223072466,11.851773019402433,13.50118462351242,1.852,1854.616,1852.764,0,0,0,0,0.42,39.1388,38.425,39.347,0.7138000000000062,0.20819999999999794,0.9220000000000041,0.2686181924839298,0.022453225982064666,0.0
x7ti,4,2CATAC_guided_full,x7ti_2CATAC_full,2CATAC,1,guided,2,8,6,8,5,full,18.835633588521354,18.782,18.926,0.018869222409667798,4.108092228802542,2.9818,4.5799,0.19401696529904433,77.3765112760075,56.406710600000004,86.33111500000001,20.9698006760075,8.954603723992506,3.614289732447045,13.50118462351242,0.223,2324.595,2324.372,59.78,59.14,60.79,0.36,0.42,69.83950000000002,68.891,70.694,0.9485000000000099,0.8544999999999874,1.8029999999999973,0.6111508724438578,0.01576790367170639,0.012182059722649786
x7ti,4,FERTAC_guided_half,x7ti_FERTAC_half,FERTAC,2,guided,2,4,3,4,3,half,18.85346711603274,18.793,18.975,0.014179010786199682,3.8363768464130956,2.4821,4.4145,0.14652287452209808,72.32782470072219,47.0035277,83.09413350000001,25.32429700072219,10.766308799277823,2.7316962472411497,13.50118462351242,0.217,2173.143,2172.926,0,0,0,0,0.42,37.87429999999999,37.695,38.167,0.1792999999999907,0.2927000000000106,0.4720000000000013,0.1351493412653006,0.027178577587986537,0.0
x7ti,4,FERTAC_guided_full,x7ti_FERTAC_full,FERTAC,2,guided,2,8,6,8,6,full,18.83058178841431,18.766,18.94,0.01979415502775873,4.175986651899649,2.9261,4.8722,0.22772830960439733,78.6330388042086,55.332551,91.5778712,23.300487804208593,12.944832395791408,4.229397418624274,13.50118462351242,0.144,2362.127,2361.983,60.29,59.26,60.83,0.41,0.42,58.563,56.169,61.828,2.3940000000000055,3.2650000000000006,5.659000000000006,2.198220290244917,0.01910942759526487,0.01465169612212489
x7ti,4,HeRAD_guided_half,x7ti_HeRAD_half,HeRAD,3,guided,2,4,3,4,3,half,18.87633686389678,18.759,19.068,0.05440456520046477,3.468978051128978,0.7622,4.4517,0.6570916489860732,65.45421787478696,14.533629600000001,83.78989739999999,50.920588274786965,18.335679525213024,12.300443379350645,13.50118462351242,0.2,1963.973,1963.773,0,0,0,0,0.42,39.0943,38.665,39.472,0.4292999999999978,0.37770000000000437,0.8070000000000022,0.2575702924553914,0.023828139365430972,0.0
x7ti,4,HeRAD_guided_full,x7ti_HeRAD_full,HeRAD,3,guided,2,8,6,8,5,full,18.829835202927157,18.745,18.939,0.024303104152163284,4.154168557122912,2.9221,4.7881,0.25755640936415736,78.21862541243561,55.2218458,89.89178940000001,22.996779612435617,11.673163987564394,4.795143682280537,13.50118462351242,0.143,2350.418,2350.275,60.81,59.65,61.65,0.41,0.42,69.47349999999999,64.121,71.384,5.352499999999992,1.9105000000000132,7.263000000000005,2.237708612249,0.016023483441452983,0.012457237939646055
x7ti,4,OTAC_big_guided_half,x7ti_OTAC_big_half,OTAC_big,4,guided,2,4,3,0,3,half,18.924458391490592,18.811,19.072,0.025811946061173707,2.7017669827212782,0.8611,3.8034,0.27363396836143666,51.12530310952014,16.4065383,71.56097100000001,34.71876480952014,20.43566789047987,5.140428074592143,13.50118462351242,0.089,1539.584,1539.4950000000001,0,0,0,0,0.42,18.422500000000003,17.977,18.745,0.44550000000000267,0.322499999999998,0.7680000000000007,0.2754919841544095,0.03949601377960051,0.0
